INDEX,Gender,Brand,Fragrance,Top,Heart,Base,Description,Longevity,Seasonal Use,Occasion,Projection/Sillage,Price,Rating,Overview
11,Women,Carolina Herrera,212 Surf,"Sea Salt, Woody Notes","Lily of the Valley, Jasmine","Musk, Cedar","A floral aquatic fragrance, with a mix of fresh and salty notes, inspired by the freedom and energy of surfing.",Moderate to long-lasting,Summer,Casual (Daytime),Moderate,Expensive,4.0,"Women,Carolina Herrera,212 Surf,Sea Salt, Woody Notes,Lily of the Valley, Jasmine,Musk, Cedar,A floral aquatic fragrance, with a mix of fresh and salty notes, inspired by the freedom and energy of surfing.,Moderate to long-lasting,Summer,Casual (Daytime),Moderate,Expensive,4.0"
12,Women,Carolina Herrera,212 VIP,"Passionfruit, Rum","Gardenia, Musk","Vanilla, Tonka Bean","A fruity floral fragrance, inspired by the energy of New York City nightlife.",Moderate to long-lasting,Fall & Winter,Formal (Daytime),Moderate,Expensive,4.6,"Women,Carolina Herrera,212 VIP,Passionfruit, Rum,Gardenia, Musk,Vanilla, Tonka Bean,A fruity floral fragrance, inspired by the energy of New York City nightlife.,Moderate to long-lasting,Fall & Winter,Formal (Daytime),Moderate,Expensive,4.6"
13,Women,Hermes,24 Faubourg,"Orange Blossom, Peach, Bergamot","Iris, Jasmine, Ylang-Ylang","Amber, Patchouli, Vanilla",A rich and luxurious scent that is both feminine and sophisticated.,Long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.6,"Women,Hermes,24 Faubourg,Orange Blossom, Peach, Bergamot,Iris, Jasmine, Ylang-Ylang,Amber, Patchouli, Vanilla,A rich and luxurious scent that is both feminine and sophisticated.,Long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.6"
14,Women,Michael Kors,24K Brilliant Gold,"Mandarin Orange, Floral Notes","Cassis, Jasmine, Peach","Vanilla, Patchouli","This fragrance is a celebration of luxury and opulence, with a rich blend of floral and fruity scents.",Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5,"Women,Michael Kors,24K Brilliant Gold,Mandarin Orange, Floral Notes,Cassis, Jasmine, Peach,Vanilla, Patchouli,This fragrance is a celebration of luxury and opulence, with a rich blend of floral and fruity scents.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5"
15,Unisex,Xerjoff,40 Knots,"Mandarin, lemon, bergamot, lavender","Sea notes, neroli, violet, jasmine, petitgrain","White musk, ambergris, Virginia cedar, sandalwood, seaweed",A fresh and aquatic unisex fragrance that evokes the ocean breeze.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.5,"Unisex,Xerjoff,40 Knots,Mandarin, lemon, bergamot, lavender,Sea notes, neroli, violet, jasmine, petitgrain,White musk, ambergris, Virginia cedar, sandalwood, seaweed,A fresh and aquatic unisex fragrance that evokes the ocean breeze.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.5"
16,Women,Elizabeth Arden,5th Avenue,"Lilac, Linden Blossom, Dewy Magnolia, Muguet","Violet, Ylang-Ylang, Jasmine, Indian Tuberose","Sandalwood, Vanilla, Tibetan Musk, Iris","A classic, sophisticated fragrance that captures the energy and excitement of New York City's famous Fifth Avenue.",Long-lasting,Fall & Winter,Formal (All),Moderate,Expensive,4.5,"Women,Elizabeth Arden,5th Avenue,Lilac, Linden Blossom, Dewy Magnolia, Muguet,Violet, Ylang-Ylang, Jasmine, Indian Tuberose,Sandalwood, Vanilla, Tibetan Musk, Iris,A classic, sophisticated fragrance that captures the energy and excitement of New York City's famous Fifth Avenue.,Long-lasting,Fall & Winter,Formal (All),Moderate,Expensive,4.5"
17,Men,Maison Francis Kurkdjian,A la rose,"Centifolia rose, Damascena rose","Violet, Magnolia","Cedarwood, Musk",A floral and romantic fragrance that celebrates the beauty of two types of roses. It has a soft and feminine scent with a delicate musky undertone.,Moderate,Spring & Summer,Formal (All),Moderate,Exorbitant,4.3,"Men,Maison Francis Kurkdjian,A la rose,Centifolia rose, Damascena rose,Violet, Magnolia,Cedarwood, Musk,A floral and romantic fragrance that celebrates the beauty of two types of roses. It has a soft and feminine scent with a delicate musky undertone.,Moderate,Spring & Summer,Formal (All),Moderate,Exorbitant,4.3"
18,Unisex,Maison Francis Kurkdjian,A la Rose,"Damask Rose, Centifolia Rose","Lemon, Bergamot, Orange","Cedarwood, Musk","A feminine fragrance with top notes of lemon, bergamot, and orange, followed by a heart of damask rose and centifolia",Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.4,"Unisex,Maison Francis Kurkdjian,A la Rose,Damask Rose, Centifolia Rose,Lemon, Bergamot, Orange,Cedarwood, Musk,A feminine fragrance with top notes of lemon, bergamot, and orange, followed by a heart of damask rose and centifolia,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.4"
19,Women,Issey Miyake,A Scent by Issey Miyake,"Verbena, Hyacinth","Jasmine, Galbanum","Cedar, Vetiver","A green floral fragrance for women, fresh and invigorating with top notes of verbena and hyacinth, heart notes of jasmine and galbanum, and base notes of cedar and vetiver.",Moderate,All Seasons,Casual (Daytime),Moderate,Expensive,4.3,"Women,Issey Miyake,A Scent by Issey Miyake,Verbena, Hyacinth,Jasmine, Galbanum,Cedar, Vetiver,A green floral fragrance for women, fresh and invigorating with top notes of verbena and hyacinth, heart notes of jasmine and galbanum, and base notes of cedar and vetiver.,Moderate,All Seasons,Casual (Daytime),Moderate,Expensive,4.3"
20,Men,Gìorgìo àrmànì,Acqua Di Gio,"Bergamot, Neroli","Jasmine, Rosemary","Cedarwood, Patchouli","A fresh and aquatic fragrance with a blend of citrus and herbal notes, perfect for summer and casual wear.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.7,"Men,Gìorgìo àrmànì,Acqua Di Gio,Bergamot, Neroli,Jasmine, Rosemary,Cedarwood, Patchouli,A fresh and aquatic fragrance with a blend of citrus and herbal notes, perfect for summer and casual wear.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.7"
21,Women,Gìorgìo àrmànì,Acqua di Gioia,"Mint Leaves, Limone Primo Fiore, Aquatic Green Accord","Jasmine, Peony, Pink Pepper","Cedarwood, Labdanum",A fresh and aquatic fragrance inspired by the beauty of the Mediterranean,Long-lasting,Spring & Summer,Casual (Daytime),Heavy,Exorbitant,4.5,"Women,Gìorgìo àrmànì,Acqua di Gioia,Mint Leaves, Limone Primo Fiore, Aquatic Green Accord,Jasmine, Peony, Pink Pepper,Cedarwood, Labdanum,A fresh and aquatic fragrance inspired by the beauty of the Mediterranean,Long-lasting,Spring & Summer,Casual (Daytime),Heavy,Exorbitant,4.5"
22,Women,Gìorgìo àrmànì,Acqua di Gioia Eau Fraîche,"Grapefruit, Ylang-Ylang, Cedarwood","Jasmine, Peony, Brown Sugar","Cedarwood, Musk, Brown Sugar",A fresh and joyful fragrance that captures the essence of summer,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.6,"Women,Gìorgìo àrmànì,Acqua di Gioia Eau Fraîche,Grapefruit, Ylang-Ylang, Cedarwood,Jasmine, Peony, Brown Sugar,Cedarwood, Musk, Brown Sugar,A fresh and joyful fragrance that captures the essence of summer,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.6"
23,Women,Dior,Addict Eau de Parfum,"Mandarin Leaf, Orange Blossom","Jasmine Sambac, Bourbon Vanilla","Sandalwood, Tonka Bean","A floral oriental fragrance with a hint of freshness, sensuality and femininity",Moderate to long-lasting,All Seasons,Casual (Evening),Strong,Exorbitant,4.5,"Women,Dior,Addict Eau de Parfum,Mandarin Leaf, Orange Blossom,Jasmine Sambac, Bourbon Vanilla,Sandalwood, Tonka Bean,A floral oriental fragrance with a hint of freshness, sensuality and femininity,Moderate to long-lasting,All Seasons,Casual (Evening),Strong,Exorbitant,4.5"
24,Men,Aedes de Venustas,Aedes de Venustas,"Rhubarb, tomato leaf, incense","Frankincense, black pepper, magnolia","Labdanum, cashmere wood, amber","Aedes de Venustas is a spicy and woody fragrance for men. It features notes of rhubarb, tomato leaf, and incense, with a heart of frankincense, black pepper, and magnolia, and a base of labdanum, cashmere wood, and amber.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.3,"Men,Aedes de Venustas,Aedes de Venustas,Rhubarb, tomato leaf, incense,Frankincense, black pepper, magnolia,Labdanum, cashmere wood, amber,Aedes de Venustas is a spicy and woody fragrance for men. It features notes of rhubarb, tomato leaf, and incense, with a heart of frankincense, black pepper, and magnolia, and a base of labdanum, cashmere wood, and amber.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.3"
25,Unisex,Oliver & Co.,Aenotus,"Bergamot, lime, lemon, orange, petitgrain, mint","Lavender, geranium, rosemary, jasmine, ylang ylang, lily of the valley","Musk, amber, cedarwood, sandalwood, oakmoss",A refreshing unisex fragrance that captures the essence of Mediterranean summer.,Long-lasting,Spring & Summer,Casual (Daytime),Strong,Exorbitant,4.2,"Unisex,Oliver & Co.,Aenotus,Bergamot, lime, lemon, orange, petitgrain, mint,Lavender, geranium, rosemary, jasmine, ylang ylang, lily of the valley,Musk, amber, cedarwood, sandalwood, oakmoss,A refreshing unisex fragrance that captures the essence of Mediterranean summer.,Long-lasting,Spring & Summer,Casual (Daytime),Strong,Exorbitant,4.2"
26,Unisex,Acqua di Stresa,Aero,"Bergamot, lemon, pink pepper, juniper","Sage, lavender, cardamom, mate","Vetiver, cedarwood, white musk",A fresh and woody unisex fragrance that embodies the spirit of freedom and adventure.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.4,"Unisex,Acqua di Stresa,Aero,Bergamot, lemon, pink pepper, juniper,Sage, lavender, cardamom, mate,Vetiver, cedarwood, white musk,A fresh and woody unisex fragrance that embodies the spirit of freedom and adventure.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.4"
27,Unisex,Memo Paris,African Leather,"Cardamom, Geranium, Leather, Patchouli, Vetiver","Bitter Almond, Clove, Leather, Tonka Bean","Musk, Vanilla","A unisex fragrance that features spicy top notes of cardamom and geranium, followed by a warm heart of bitter almond, clove, leather, and tonka bean, and finished with musk and vanilla.",Long-lasting,Fall & Winter,Formal (All),Strong projection,Exorbitant,4.2,"Unisex,Memo Paris,African Leather,Cardamom, Geranium, Leather, Patchouli, Vetiver,Bitter Almond, Clove, Leather, Tonka Bean,Musk, Vanilla,A unisex fragrance that features spicy top notes of cardamom and geranium, followed by a warm heart of bitter almond, clove, leather, and tonka bean, and finished with musk and vanilla.,Long-lasting,Fall & Winter,Formal (All),Strong projection,Exorbitant,4.2"
28,Men,Swiss Arabian,Agarwood Noir,"Bergamot, Lemon, Blackcurrant","Agarwood, Cedarwood, Patchouli","Amber, Musk, Vanilla","A rich and sensual fragrance featuring the rare and luxurious ingredient of agarwood, with a fruity and woody scent.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.1,"Men,Swiss Arabian,Agarwood Noir,Bergamot, Lemon, Blackcurrant,Agarwood, Cedarwood, Patchouli,Amber, Musk, Vanilla,A rich and sensual fragrance featuring the rare and luxurious ingredient of agarwood, with a fruity and woody scent.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.1"
29,Unisex,Parfums de Marly,Akaster,"Sicilian Lemon, Saffron","Bulgarian Rose, Geranium","Agarwood, Oud, Cedarwood",A complex and rich fragrance that is both floral and woody with a smoky and spicy undertone.,Long-lasting,Fall & Winter,Formal (Evening),Strong,Exorbitant,4.7,"Unisex,Parfums de Marly,Akaster,Sicilian Lemon, Saffron,Bulgarian Rose, Geranium,Agarwood, Oud, Cedarwood,A complex and rich fragrance that is both floral and woody with a smoky and spicy undertone.,Long-lasting,Fall & Winter,Formal (Evening),Strong,Exorbitant,4.7"
30,Women,Thierry Mugler,Alien,"Sambac Jasmine, Cashmeran Wood, Ambergris",Solar Notes,White Amber,Alien is a floral-woody-amber fragrance that is uniquely feminine and captivating.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.5,"Women,Thierry Mugler,Alien,Sambac Jasmine, Cashmeran Wood, Ambergris,Solar Notes,White Amber,Alien is a floral-woody-amber fragrance that is uniquely feminine and captivating.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.5"
31,Women,Thierry Mugler,Alien Eau Extraordinaire,"Tunisian Neroli, Bergamot","Tiare Flower, Heliotrope","White Amber, Cashmeran",Alien Eau Extraordinaire is a floral fragrance with a fresh and exotic scent that is perfect for those who love to stand out.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.4,"Women,Thierry Mugler,Alien Eau Extraordinaire,Tunisian Neroli, Bergamot,Tiare Flower, Heliotrope,White Amber, Cashmeran,Alien Eau Extraordinaire is a floral fragrance with a fresh and exotic scent that is perfect for those who love to stand out.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.4"
32,Men,Calvin Klein,All,"Mandarin, Bergamot","Paradisone, Lily of Valley","Amber, Musk",A unisex fragrance with fresh and citrusy notes. Perfect for casual everyday wear.,Moderate,All Seasons,All,Moderate,Affordable,4.0,"Men,Calvin Klein,All,Mandarin, Bergamot,Paradisone, Lily of Valley,Amber, Musk,A unisex fragrance with fresh and citrusy notes. Perfect for casual everyday wear.,Moderate,All Seasons,All,Moderate,Affordable,4.0"
33,Women,Chanel,Allure,"Mandarin, Peach, Bergamot","Jasmine, Rose, Iris","Vanilla, Sandalwood, Vetiver",A classic floral fragrance with a fruity and spicy twist. It is a sensual and sophisticated scent that is perfect for evening wear.,Long-lasting,All Seasons,Casual (Daytime),Moderate,Exorbitant,4.6,"Women,Chanel,Allure,Mandarin, Peach, Bergamot,Jasmine, Rose, Iris,Vanilla, Sandalwood, Vetiver,A classic floral fragrance with a fruity and spicy twist. It is a sensual and sophisticated scent that is perfect for evening wear.,Long-lasting,All Seasons,Casual (Daytime),Moderate,Exorbitant,4.6"
34,Men,Chanel,Allure Homme,"Mandarin, Coriander","Cedar, Tonka Bean","Vanilla, Amber","A modern and elegant fragrance with a mix of spicy and sweet notes, ideal for the confident and charismatic man.",Moderate,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.5,"Men,Chanel,Allure Homme,Mandarin, Coriander,Cedar, Tonka Bean,Vanilla, Amber,A modern and elegant fragrance with a mix of spicy and sweet notes, ideal for the confident and charismatic man.,Moderate,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.5"
35,Men,Chanel,Allure Homme Édition Blanche,"Lemon, Bergamot","Pepper, Cedar","Tonka Bean, White Musk","A fresh and spicy fragrance with a mix of citrus and woody notes, perfect for summer and spring.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.5,"Men,Chanel,Allure Homme Édition Blanche,Lemon, Bergamot,Pepper, Cedar,Tonka Bean, White Musk,A fresh and spicy fragrance with a mix of citrus and woody notes, perfect for summer and spring.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.5"
36,Men,Chanel,Allure Homme Sport,"Aldehydes, Mandarin","Sea Notes, Neroli","Tonka Bean, Cedar","A dynamic and invigorating fragrance with a mix of fresh and warm notes, ideal for sporty and active men.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6,"Men,Chanel,Allure Homme Sport,Aldehydes, Mandarin,Sea Notes, Neroli,Tonka Bean, Cedar,A dynamic and invigorating fragrance with a mix of fresh and warm notes, ideal for sporty and active men.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6"
37,Men,Chanel,Allure Homme Sport Eau Extrême,"Mandarin, Mint","Cypress, Sage","Tonka Bean, Vanilla","A fresh and intense fragrance with a mix of citrus and herbal notes, ideal for the active and adventurous man.",Long-lasting,Fall & Winter,Formal (Evening),Strong,Exorbitant,4.5,"Men,Chanel,Allure Homme Sport Eau Extrême,Mandarin, Mint,Cypress, Sage,Tonka Bean, Vanilla,A fresh and intense fragrance with a mix of citrus and herbal notes, ideal for the active and adventurous man.,Long-lasting,Fall & Winter,Formal (Evening),Strong,Exorbitant,4.5"
38,Women,Chanel,Allure Sensuelle,"Bergamot, Mandarin, Pink Pepper","Rose, Jasmine, Iris","Patchouli, Vanilla, Amber","A warm and sensual fragrance with a spicy top note, a floral heart, and a woody base. It is a feminine and sophisticated scent that is perfect for autumn and winter.",Long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.5,"Women,Chanel,Allure Sensuelle,Bergamot, Mandarin, Pink Pepper,Rose, Jasmine, Iris,Patchouli, Vanilla, Amber,A warm and sensual fragrance with a spicy top note, a floral heart, and a woody base. It is a feminine and sophisticated scent that is perfect for autumn and winter.,Long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.5"
39,Women,Givenchy,Amarige,"Mandarin, Neroli, Violet Leaves","Red Fruits, Gardenia, Mimosa","Vanilla, Tonka Bean, Precious Woods","Amarige is a romantic and feminine scent that is perfect for a special occasion or a night out. It is warm and inviting, yet elegant and sophisticated.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.5,"Women,Givenchy,Amarige,Mandarin, Neroli, Violet Leaves,Red Fruits, Gardenia, Mimosa,Vanilla, Tonka Bean, Precious Woods,Amarige is a romantic and feminine scent that is perfect for a special occasion or a night out. It is warm and inviting, yet elegant and sophisticated.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.5"
40,Women,Philosophy,Amazing Grace,"Bergamot, Muguet Blossoms","Soft Musk, Freesia",Clean Musk,Amazing Grace is a fresh and clean fragrance that captures the essence of femininity with its floral and musky notes. It is perfect for everyday wear.,Moderate to long-lasting,All Seasons,Casual (Daytime),Moderate,Expensive,4.5,"Women,Philosophy,Amazing Grace,Bergamot, Muguet Blossoms,Soft Musk, Freesia,Clean Musk,Amazing Grace is a fresh and clean fragrance that captures the essence of femininity with its floral and musky notes. It is perfect for everyday wear.,Moderate to long-lasting,All Seasons,Casual (Daytime),Moderate,Expensive,4.5"
41,Men,Prada,Amber Intense,"Bergamot, patchouli","Myrrh, vanilla, tonka bean","Leather, sandalwood","A rich and complex fragrance that exudes sensuality and intimacy. It is perfect for the man who is confident, elegant and sophisticated.",Moderate,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.2,"Men,Prada,Amber Intense,Bergamot, patchouli,Myrrh, vanilla, tonka bean,Leather, sandalwood,A rich and complex fragrance that exudes sensuality and intimacy. It is perfect for the man who is confident, elegant and sophisticated.,Moderate,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.2"
42,Men,Prada,Amber Pour Homme,"Mandarin, bergamot","Cardamom, neroli, geranium","Vetiver, patchouli, tonka bean","A classic and sophisticated fragrance that exudes warmth, sensuality and masculinity. It is perfect for the refined and elegant man.",Moderate,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.4,"Men,Prada,Amber Pour Homme,Mandarin, bergamot,Cardamom, neroli, geranium,Vetiver, patchouli, tonka bean,A classic and sophisticated fragrance that exudes warmth, sensuality and masculinity. It is perfect for the refined and elegant man.,Moderate,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.4"
43,Women,Profumum Roma,Ambra,"Amber, Vanilla, Benzoin","Labdanum, Patchouli, Sandalwood","Musk, Ambergris",A warm and sensual amber fragrance that is perfect for cold weather.,Moderate to long-lasting,Fall & Winter,Formal (All),Strong,Exorbitant,4.2,"Women,Profumum Roma,Ambra,Amber, Vanilla, Benzoin,Labdanum, Patchouli, Sandalwood,Musk, Ambergris,A warm and sensual amber fragrance that is perfect for cold weather.,Moderate to long-lasting,Fall & Winter,Formal (All),Strong,Exorbitant,4.2"
44,Women,Narciso Rodriguez,Ambree,"Amber, Cedar, Musk","Vanilla, Sandalwood","Labdanum, Patchouli","An amber woody fragrance, with warm and spicy accords.",Moderate,All Seasons,All,Moderate,Expensive,3.6,"Women,Narciso Rodriguez,Ambree,Amber, Cedar, Musk,Vanilla, Sandalwood,Labdanum, Patchouli,An amber woody fragrance, with warm and spicy accords.,Moderate,All Seasons,All,Moderate,Expensive,3.6"
45,Women,Salvatore Ferragamo,Amo Ferragamo,"Campari, Blackcurrant, Rosemary","Jasmine sambac, Mate absolute, Rhubarb","Tahitian vanilla, Ambrox, Sandalwood",Amo Ferragamo is a bold and seductive fragrance that captures the essence of the modern woman. The scent is sweet and fruity with a touch of bitterness from the Campari and rhubarb.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.3,"Women,Salvatore Ferragamo,Amo Ferragamo,Campari, Blackcurrant, Rosemary,Jasmine sambac, Mate absolute, Rhubarb,Tahitian vanilla, Ambrox, Sandalwood,Amo Ferragamo is a bold and seductive fragrance that captures the essence of the modern woman. The scent is sweet and fruity with a touch of bitterness from the Campari and rhubarb.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.3"
46,Women,Parfums DelRae,Amoureuse,"Bergamot, Lemon, Pink Pepper","Jasmine, Tuberose, Iris","Vanilla, Musk, Sandalwood",A sweet and floral fragrance that is perfect for romantic occasions.,Moderate to long-lasting,Fall & Winter,Formal (All),Moderate,Exorbitant,4.3,"Women,Parfums DelRae,Amoureuse,Bergamot, Lemon, Pink Pepper,Jasmine, Tuberose, Iris,Vanilla, Musk, Sandalwood,A sweet and floral fragrance that is perfect for romantic occasions.,Moderate to long-lasting,Fall & Winter,Formal (All),Moderate,Exorbitant,4.3"
