Gender,Brand,Fragrance,Top,Heart,Base,Description,Rating,Longevity,Seasonal Use,Occasion,Price,Projection/Sillage
Men,Acqua di Parma,Colonia Leather,"Lime, Lemon, Petitgrain","Pink Pepper, Leather, Cedarwood","Tonka Bean, Patchouli, Musk","A luxurious and sophisticated fragrance with a mix of citrus, leather, and woody notes. Ideal for formal events.",4.2,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate
Men,Acqua di Parma,Colonia Oud,"Bergamot, Orange, Oud","Russian Coriander, Amyris","Cedarwood, Leather, Musk",A unique fragrance with a blend of traditional and modern scents. Perfect for special occasions.,4.3,Moderate,Fall & Winter,Formal (All),$$$,Moderate
Unisex,Acqua di Parma,Colonia,"Lemon, Orange, Bergamot, Lavender, Rosemary","Jasmine, Rose, Lily of the Valley, Verbena, Ylang-Ylang","Cedarwood, Sandalwood, Patchouli, Vetiver","Colonia is a timeless classic that exudes Italian elegance and sophistication. This fragrance is fresh, citrusy, and invigorating, perfect for any occasion, season, or gender.",4.6,Moderate to long-lasting,Spring & Summer,Casual (All),$$,Moderate projection
Women,Acqua di Parma,Gelsomino Nobile,"Mandarin, Pink Pepper, Star Anise","Jasmine, Orange Blossom, Tuberose","Cedarwood, Musk, Patchouli",A fresh and floral fragrance that is perfect for spring and summer.,4.2,Moderate to long-lasting,Spring & Summer,Formal (All),$$$,Moderate
Unisex,Acqua di Stresa,Aero,"Bergamot, lemon, pink pepper, juniper","Sage, lavender, cardamom, mate","Vetiver, cedarwood, white musk",A fresh and woody unisex fragrance that embodies the spirit of freedom and adventure.,4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Aedes de Venustas,Aedes de Venustas,"Rhubarb, tomato leaf, incense","Frankincense, black pepper, magnolia","Labdanum, cashmere wood, amber","Aedes de Venustas is a spicy and woody fragrance for men. It features notes of rhubarb, tomato leaf, and incense, with a heart of frankincense, black pepper, and magnolia, and a base of labdanum, cashmere wood, and amber.",4.3,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Men,Aesop,Hwyl,"Cypress, frankincense, vetiver","Smoke, pine, turmeric, moss","Amber, musk, patchouli","A smoky and woody fragrance for men that is perfect for fall and winter. The scent features notes of cypress, frankincense, and vetiver, with",4.0,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Amouage,Interlude Man,"Oregano, pimento berry oil, amber, opoponax, cistus, myrrh, agarwood smoke, leather, sandalwood, patchouli","Amber, opoponax, cistus, myrrh","Leather, oud, sandalwood, patchouli","A warm and spicy fragrance with a deep woody base. It's intense and long-lasting, perfect for the cooler months.",4.5,Long-lasting,Fall & Winter,Casual (Evening),$$$,Heavy
Men,Amouage,Jubilation XXV Man,"Orange, coriander, labdanum, tarragon, olibanum, blackberry, guaiac wood, cinnamon, bay leaf, honey, orchid, rose, clove, celery seeds, opoponax, patchouli, myrrh, musk, cedarwood, agarwood","Opoponax, patchouli, myrrh","Musk, cedarwood, agarwood","A complex and sophisticated fragrance that blends sweet, spicy, and woody notes. It's perfect for special occasions or when you want to make an impression.",4.4,Long-lasting,Fall & Winter,Casual (Evening),$$$,Moderate
Men,Amouage,Memoir Man,"Absinthe, wormwood, basil, mint, rose, frankincense, lavender, sandalwood, vetiver, guaiac wood, amber, vanilla, musk, oakmoss, leather","Wormwood, basil, mint, rose","Amber, vanilla, musk, oakmoss, leather","A dark and mysterious scent with a fresh herbal opening and a warm, woody base. It's perfect for a night out or when you want to feel confident and sophisticated.",4.2,Long-lasting,Fall & Winter,Casual (Evening),$$$,Moderate
Men,Amouage,Reflection Man,"Rosemary, red pepper berries, bitter orange leaves, neroli, orris, jasmine, ylang-ylang, vetiver, patchouli, sandalwood, cedarwood","Orris, jasmine, ylang-ylang","Vetiver, patchouli, sandalwood, cedarwood",A fresh and clean fragrance with a citrusy and spicy opening and a woody base. It's perfect for everyday wear or when you want to feel energized and refreshed.,4.2,Long-lasting,All Seasons,All,$$$,Moderate
Men,Amouage,Lyric Man,"Bergamot, lime, saffron, ginger, nutmeg, cardamom, orange blossom, rose, jasmine, ylang-ylang, geranium, iris, patchouli, sandalwood, vetiver, incense, musk, tonka bean","Orange blossom, rose, jasmine, ylang-ylang, geranium, iris","Patchouli, sandalwood, vetiver, incense, musk, tonka bean","A rich and complex fragrance with a spicy, floral, and woody profile. It's perfect for special occasions or when you want to feel luxurious and sophisticated.",4.3,Long-lasting,Fall & Winter,Casual (Evening),$$$,Moderate
Men,Amouage,Beach Hut Man,"Mint, orange blossom, galbanum, vetiver, moss, ivy, patchouli, myrrh","Galbanum, vetiver, moss","Patchouli, myrrh",A fresh and green fragrance with a minty opening and a woody base. It's perfect for the summer months or when you want to feel relaxed and carefree.,4.3,Long-lasting,Spring & Summer,All,$$$,Moderate
Men,Amouage,Opus VI,"Sichuan pepper, Frankincense, Styrax","Periploca, Ylang-ylang, Orris","Leather, Vetiver, Cedarwood",A spicy and woody scent that evokes the mystery of the Silk Road.,4.5,Moderate to long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate to Heavy
Unisex,Anne de Cassignac,Ciel d'Opale,"Bergamot, Rose","Jasmine, Ylang-ylang","Vanilla, Musk, Sandalwood",An elegant and sophisticated fragrance with a soft floral bouquet and a creamy base that gives it warmth and depth.,4.0,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Annick Goutal,Eau de Charlotte,"Blackcurrant, Mimosa","Fruity Notes, Rose, Jasmine","Vanilla, Heliotrope","A fruity and floral fragrance with a soft, sweet vanilla base. Suitable for daytime wear.",4.2,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Annick Goutal,Nuit Etoilee,"Citron, Orange, Pine","Fir, Mint, Rosemary, Blackcurrant","Cedar, Vetiver, Musk, Fir Balsam, Amber","A woody aromatic fragrance for women and men. A fresh and invigorating scent inspired by the cool, crisp air of a winter night.",4.2,Moderate to long-lasting,Fall & Winter,Casual (All),$$$,Moderate
Women,Annick Goutal,Songes,"Frangipani, tiare flower, jasmine","Ylang-ylang, rose, vanilla","Tuberose, musk",A romantic and exotic fragrance that evokes tropical nights,4.1,Long-lasting,Spring & Summer,Formal (Evening),$$$,Strong
Women,Ariana Grande,Ari,"Pear, Pink Grapefruit, Raspberry","Lily-of-the-Valley, Rose Buds, Vanilla Orchid","Musk, Woody Notes, Marshmallow","Ari by Ariana Grande is a sweet and floral fragrance that's perfect for everyday wear. With notes of pear, pink grapefruit, and raspberry, it's a fruity scent that's balanced out by floral heart notes and a base of musk and woods.",4.6,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Arquiste,Bouquet de Hongrie,"Bergamot, black pepper, elemi","Rose, carnation, ylang-ylang","Leather, patchouli, amber, incense","An elegant, floral fragrance with a leather and incense accord",4.1,Moderate to long-lasting,Fall & Winter,Formal (All),$$$,Strong
Women,Arquiste,La Dame aux Camelias,"Italian Bergamot, Aldehydes, Pear, Mimosa","Turkish Rose, Egyptian Jasmine, Camellia Oil","Amber, Suede, White Musk, Tonka Bean","Inspired by the heroine of Alexandre Dumas’ novel and her famous love affair with the Duke of Orleans. It is a floral oriental fragrance, with a modern take on the classic accord of rose and musk.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Arquiste,Equestrian,"Juniper, saffron, leather","Patchouli, suede, mate, hay","Amber, birch, fir","Inspired by the world of horse riding, this masculine scent combines the aroma of leather and hay with juniper berries, patchouli, and amber to create a woody, spicy fragrance that is perfect for fall and winter.",4.2,Moderate,Fall & Winter,Casual (Daytime),$$$,Moderate
Men,Arquiste,The Architects Club,"Juniper Berries, Lemon, Earl Grey Tea","Amber, Iris, Vetiver, Frankincense, Cedar","Vanilla, Musks, Woods, Ambergris","An aromatic, woody fragrance that takes inspiration from the gentlemen's clubs of London. It has a classic and refined character.",4.0,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Men,Atelier Cologne,Cedrat Enivrant,"Cedrat, Lime, Mint, Juniper Berries","Basil, Juniper Berry, Lemon, Hedione, Ginger","Vetiver, Tonka Bean, Cypress",A fresh and invigorating scent that captures the essence of summer.,4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Atelier Cologne,Bergamote Soleil,"Bergamot, Bigarade, Ambrette","Jasmine, Lavender, Cardamom","Vetiver, Oak Moss, White Amber",A citrusy and aromatic fragrance that evokes the warmth and brightness of the Mediterranean.,4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Atelier Cologne,Vetiver Fatal,"Bergamot, Lemon, Tunisian Orange Blossom","Pepper, Ginger, Egyptian Jasmine","Vetiver, Tonka Bean, Cedarwood",A bold and sophisticated scent that blends spicy and woody notes with fresh citrus and floral accents.,4.2,Moderate,Fall & Winter,All,$$,Moderate
Men,Atelier Cologne,Bois Blonds,"Neroli, Pink Pepper, Bergamot","Incense, Orange Flower, Wood Sap","Vetiver, Cedarwood, Musk",An elegant and refined fragrance that balances bright citrus and floral notes with warm and earthy woods.,4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Atelier Cologne,Oolang Infini,"Bergamot, Neroli, Oolang Tea","Jasmine, Blond Leather, Tobacco Flower","Guaiac Wood, Vetiver, Tonka Bean",A captivating and sensual scent that weaves together delicate tea and floral notes with rich and smoky woods.,4.1,Moderate,Spring & Fall,Casual (Daytime),$$,Moderate
Men,Atelier Cologne,Orange Sanguine,"Blood Orange, Bitter Orange, Jasmine","Geranium, Black Pepper, Tunisian Orange Blossom","Tonka Bean, Sandalwood, Cedarwood",A juicy and vibrant fragrance that captures the essence of freshly squeezed oranges.,4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Atelier Cologne,Pomelo Paradis,"Pink Pomelo, Calabrian Mandarin, Blackcurrant Bud","Orange Blossom, Bulgarian Rose, Mint","Vetiver, Amber, White Musk",A refreshing and energizing scent that blends juicy citrus and floral notes with warm and woody undertones.,4.2,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Atelier Cologne,Rose Anonyme,"Bergamot, Ginger, Turkish Rose","Incense, Patchouli, Geranium","Oud, Amber, Cedarwood",A dark and mysterious fragrance that layers opulent rose and spice notes over a rich and woody base.,4.1,Moderate,Fall & Winter,All,$$$,Moderate
Men,Atelier Cologne,Cafe Tuberosa,"Bergamot, Mandarin, Cardamom","Tuberose, Orange Blossom, Coffee","Cacao, Vanilla, Sandalwood",A sensual and addictive scent that fuses the bold and intoxicating aroma of tuberose with the rich and creamy notes of coffee and chocolate.,4.1,Moderate,Fall & Winter,All,$$$,Moderate
Men,Atelier Cologne,Grand Néroli,"Neroli, Lemon, Petitgrain","Angelica, Galbanum, Moss","Musk, Vetiver, Amber","A bright and lively fragrance that celebrates the rich and complex aroma of neroli, the essential oil extracted from bitter orange blossoms.",4.2,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Atelier Cologne,Orange Sanguine,"Blood Orange, Bitter Orange","Jasmine, Geranium, Black Pepper","Tonka Bean, Sandalwood, Cedarwood",A citrusy and fresh fragrance with a bright and zesty character. It is a unisex fragrance that captures the essence of Mediterranean sunshine.,4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Atelier Cologne,Orange Sanguine,"Blood Orange, Bitter Orange, Jasmine","Geranium, Black pepper, Tonka bean","Cedarwood, Amber, Vetiver",A fresh and citrusy fragrance with a sunny and vibrant personality,4.3,Moderate to long-lasting,Spring & Summer,Casual (All),$$,Moderate projection
Unisex,Atelier Cologne,Clementine California,"Clementine, mandarin, juniper","Star anise, sichuan pepper, basil","Vetiver, sandalwood, cypress","A sunny and vibrant fragrance, Clementine California from Atelier Cologne is a unisex scent with fruity and citrusy notes of mandarin and clementine, balanced with a hint of spice from star anise and sichuan pepper. The dry down reveals a woody base of vetiver, sandalwood, and cypress. This is a perfect scent for warmer months and those who love fresh, zesty fragrances.",4.2,Moderate to long-lasting,Spring & Summer,Casual (All),$$$,Moderate projection
Unisex,Atelier Cologne,Bergamote Soleil,"Bergamot, Bigarade, Ambrette","Jasmine, Lavender, Cardamom","Vetiver, Oak Moss, White Amber","A fresh and citrusy fragrance with notes of bergamot and bigarade, perfect for warm weather.",4.2,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Atelier Cologne,Vanille Insensee,"Coriander, lime, bergamot","Vetiver, oakmoss, vanilla infusion","Oak absolute, amber, musk","A warm and sensual fragrance, Vanille Insensee from Atelier Cologne is a unisex scent that features a unique blend of spicy and sweet notes. The opening includes coriander, lime, and bergamot, while the heart reveals vetiver, oakmoss, and vanilla infusion. The",4.2,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate
Unisex,Atelier Cologne,Blanche Immortelle,"Bergamot, Immortelle","Jasmine, Narcissus, Angelica","Musk, Sandalwood",A floral and herbaceous fragrance with a musky base. Suitable for daytime wear in spring and summer.,4.1,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate
Unisex,Atelier Cologne,Pomélo Paradis,"Pink Grapefruit, Mandarin, Blackcurrant","Orange Blossom, Bulgarian Rose, Mint","Vetiver, Amber",A fresh and fruity fragrance with a citrus top note. Suitable for daytime wear in spring and summer.,4.2,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Atelier Cologne,Bois Blonds,"Tunisian neroli, pink pepper, Moroccan atlas cedarwood","Haitian vetiver, Tunisian orange flower, Egyptian jasmine","blonde woods, musks, Haitian vetiver","A woody and citrusy fragrance with notes of neroli, cedarwood, and vetiver.",4.4,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate to Strong
Women,Atelier Cologne,Mimosa Indigo,"Mandarin Orange, Bergamot","Mimosa, Violet, Patchouli, White Musk","Bourbon Vanilla, Oak, Leather",A floral fragrance for women and men. A warm and vibrant scent that captures the essence of the French Riviera in the summer.,4.2,Moderate to long-lasting,Spring & Summer,Casual (All),$$,Moderate
Men,Atelier Cologne,Cafe Tuberosa,"Bergamot, tuberose, coffee","Turkish rose, jasmine, orange","Cocoa, vanilla, tonka bean","A warm and inviting fragrance for men that combines the aroma of coffee with the floral notes of tuberose and Turkish rose. Perfect for fall and winter, and suitable for both casual and formal occasions.",4.2,Moderate,Fall & Winter,Casual (Daytime),$$,Moderate
Unisex,Atelier Cologne,Vanille Insensée,"Coriander, Lime, Bergamot","Oak, Jasmine, Vanilla","Vetiver, Oakmoss, Amber","A sweet and spicy fragrance with top notes of coriander, lime and bergamot, and a vanilla heart with a woody and mossy base.",4.2,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Atelier Cologne,Orange Sanguine,"Blood orange, bitter orange, jasmine","Geranium, black pepper, tonka bean","Cedarwood, sandalwood, amber",A bright and refreshing citrus scent that is perfect for summer days.,4.4,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Atelier Cologne,Vanille Insensée,"Coriander, lime, bergamot","Oakmoss, jasmine, ginger","Vanilla, amber, woods",A warm and spicy vanilla scent that is perfect for the colder months.,4.2,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate
Women,Atelier Cologne,Clementine California,"Clementine, mandarin, juniper berries","Basil, pepper, star anise","Vetiver, sandalwood, cypress",A fresh and zesty citrus scent that is perfect for everyday wear.,4.3,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Atelier Cologne,Bois Blonds,"Neroli, pink pepper, bergamot","Incense, orange blossom, woody notes","Vetiver, musk, amber",A woody and citrusy scent that is perfect for both men and women.,4.1,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Atelier Cologne,Bergamote Soleil,"Bergamot, bigarade, ambrette","Jasmine, lavender, cardamom","Vetiver, oakmoss, white amber",A fresh and bright citrus scent that is perfect for summer.,4.3,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Atelier Cologne,Pomélo Paradis,"Pink grapefruit, Calabrian mandarin, blackcurrant bud","Orange blossom, Bulgarian rose, mint","Vetiver, iris, amber",A fruity and floral scent that is perfect for everyday wear.,4.2,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Atelier Cologne,Oolang Infini,"Bergamot, neroli, freesia","Oolong tea, jasmine, blond leather","Tobacco flower, musk, amber",A fresh and clean scent with a hint of leather that is perfect for any occasion.,4.1,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate
Unisex,Atelier Cologne,Vetiver Fatal,"Calabrian bergamot, Sicilian lemon, bitter orange","Tunisian orange blossom, Egyptian jasmine, violet leaves","Vetiver, hazelnut, tonka bean",A warm and spicy vetiver scent that is perfect for the colder months.,4.1,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate
Unisex,Atelier Cologne,Grand Néroli,"Neroli, lemon, bergamot","Orange blossom, petitgrain, jasmine","Musk, amber, vanilla",A fresh and floral neroli scent that is perfect for summer.,4.2,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Atelier Cologne,Cedrat Enivrant,"Moroccan cedrat, lime, bergamot","Mint, basil, juniper berries","Tonka bean, vetiver, elemi",A refreshing and masculine citrus scent that is perfect for summer.,4.2,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Auphorie,Osmanthus,"Osmanthus, apricot, green tea, jasmine sambac, ylang ylang","Beeswax, Chinese tea, leather, ambergris, patchouli","Sandalwood, musk, vanilla, benzoin, labdanum","A sweet, floral fragrance inspired by the osmanthus flower.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Berdoues,Sakura,"Cherry Blossom, Bergamot, Pink Pepper","Jasmine, Tea, Heliotrope","Vanilla, Musk, Tonka Bean",A fresh and floral fragrance that is perfect for spring and summer.,4.3,Moderate to long-lasting,Spring & Summer,Casual (All),$$,Moderate
Men,Blackbird,Unsettled,"Bergamot, Ambrette Seed, White Pepper, Sandalwood","Iris, Amber, Cedarwood","Musk, Ambergris, Patchouli","An aromatic woody fragrance with a modern and earthy scent, inspired by the Pacific Northwest region of the United States.",4.3,Moderate,Fall & Winter,Casual (Daytime),$$$,Moderate
Women,Bois 1920,Bois 1920 Oro,"Bergamot, lemon, orange","Rose, jasmine, ylang-ylang","Cedarwood, sandalwood, vanilla, benzoin","A woody, floral fragrance with a hint of citrus and sweetness",4.5,Moderate to long-lasting,Fall & Winter,Formal (All),$$$,Moderate
Unisex,Bottega Veneta,Parco Palladiano I,"Bergamot, Mandarin, Lemon","Galbanum, Jasmine, Magnolia","Oakmoss, Cedarwood, White Musk","A fresh and green unisex fragrance inspired by the Italian garden, featuring citrus and floral top notes and a woody and musky base.",4.3,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate
Women,Britney Spears,Fantasy,"Kiwi, Red Litchi, Quince","Jasmine, White Chocolate, Orris Root","Musk, Orris Root, Woody Notes","Fantasy by Britney Spears is a playful and seductive fragrance that's perfect for a night out. With notes of kiwi, red litchi, and quince, it's a fruity scent that's balanced out by floral heart notes and a base of musk and woods.",4.7,Long-lasting,All Seasons,Formal (Evening),$$,Heavy
Women,Burberry,Eau de Parfum,"Blackcurrant, Green Apple, Bergamot","Jasmine, Sandalwood, Cedar","Vanilla, Moss, Musk",A fruity and floral fragrance that is perfect for everyday wear.,4.6,Long-lasting,Fall & Winter,All,$$,Moderate
Women,Burberry,Her Eau de Parfum,"Red Berries, Violet Leaves, Jasmine","Musk, Benzoin, Amber",Vanilla,A sweet and fruity fragrance with a modern twist. Perfect for a night out.,4.5,Moderate to long-lasting,Fall & Winter,All,$$$,Moderate
Women,Burberry,Brit Eau de Parfum,"Green Almonds, Lime, Pear","Almonds, Peony, Sugar","Mahogany, Amber, Vanilla",A fresh and feminine fragrance with a mix of fruity and floral scents.,4.6,Long-lasting,Fall & Winter,Casual (All),$$,Moderate
Women,Burberry,My Burberry Blush Eau de Parfum,"Pomegranate, Lemon, Rose Petals","Apple, Geranium, Jasmine","Wisteria, Musk, Raspberry",A floral and fruity fragrance that is perfect for spring and summer.,4.5,Moderate to long-lasting,Spring & Summer,Casual (All),$$$,Moderate
Women,Burberry,Body Eau de Parfum,"Freesia, Peach, Wormwood","Iris, Rose, Sandalwood","Vanilla, Amber, Musk",A sensual and feminine fragrance that is perfect for evening wear.,4.5,Moderate to long-lasting,Fall & Winter,All,$$$,Moderate
Women,Burberry,Touch Eau de Parfum,"Orange, Blackberry, Cranberry","Jasmine, Peony, Lily of the Valley","Vanilla, Cedarwood, Oakmoss",A soft and romantic fragrance that is perfect for daytime wear.,4.4,Long-lasting,Fall & Winter,All,$$$,Moderate
Women,Burberry,Weekend Eau de Parfum,"Sage, Mandarin, Mignonette","Blue Hyacinth, Iris, Nectarine","Cedarwood, Sandalwood, Musk",A fresh and clean fragrance that is perfect for casual wear.,4.5,Moderate to long-lasting,Spring & Summer,Casual (All),$$,Moderate
Women,Burberry,Brit Sheer Eau de Toilette,"Yuzu, Pineapple Leaves, Peach Blossom","Peony, Peach Blossom, Nashi Pear","White Musk, Blonde Woods, Creamy Amyris Wood",A light and fruity fragrance that is perfect for spring and summer.,4.5,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Burberry,The Beat Eau de Parfum,"Bergamot, Mandarin, Ceylon Tea","Pink Pepper, Bluebell, Iris","Cedarwood, White Musk, Vetiver",A floral and woody fragrance that is perfect for the modern and confident woman.,4.4,Moderate to long-lasting,Fall & Winter,All,$$$,Moderate
Women,Burberry,Brit Rhythm Eau de Toilette,"Lavender, Pink Pepper, Neroli","Orris, Orange Blossom, Blackberry Leaves","Vetiver, Musk, Cedarwood",A floral and woody fragrance that is perfect for the edgy and free-spirited woman.,4.5,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Burberry,London,"Bergamot, Lavender","Cinnamon, Mimosa","Leather, Patchouli",London by Burberry is a warm and sensual fragrance that blends spicy and floral notes with a woody base. It is perfect for the colder months.,4.6,Long-lasting,Fall & Winter,Formal (Evening),$$,Heavy
Women,Bvlgari,Omnia Crystalline,"Bamboo, Nashi pear, Lotus blossom","Tea, Cassia, Jasmine","Guaiac wood, Oakmoss, Musk",A clean and fresh floral scent that evokes a feeling of purity and transparency.,4.5,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Bvlgari,Jasmin Noir,"Gardenia, Green sap, Almond","Sambac jasmine, Precious woods, Licorice","Tonka bean, Amber",An intense and sensual fragrance that combines the sweetness of jasmine with the richness of woods and amber.,4.2,Moderate,All Seasons,Formal (Evening),$$$,Moderate
Women,Bvlgari,Rose Goldea,"Pomegranate, Rose petals","Damask rose, Jasmine grandiflorum","Sandalwood, Musk, Vanilla",A floral-oriental fragrance that captures the beauty and sensuality of the rose.,4.3,Moderate,All Seasons,Casual (Daytime),$$$,Moderate
Women,Bvlgari,Pour Femme,"Orange blossom, Bergamot","Violet, Jasmine, Rose","Musk, Sandalwood, Vanilla",A classic floral-oriental fragrance that exudes elegance and sophistication.,4.4,Moderate,All Seasons,Casual (Daytime),$$$,Moderate
Women,Bvlgari,Goldea,"Orange blossom, Bergamot","Ylang-ylang, Jasmine, Peony","Amber, Musk, Patchouli",A radiant and opulent fragrance that celebrates the splendor and power of gold.,4.3,Moderate,All Seasons,Casual (Daytime),$$$,Moderate
Women,Bvlgari,Omnia Amethyste,"Pink grapefruit, Green sap","Iris, Bulgarian rose","Heliotrope, Solar woods",A fresh and powdery floral fragrance that captures the essence of the amethyst gemstone.,4.4,Moderate,Spring & Fall,Casual (Daytime),$$$,Moderate
Women,Bvlgari,Omnia Coral,"Bergamot, Goji berries","Hibiscus, Water lily, Pomegranate","Cedarwood, Musk",A vibrant and cheerful floral-fruity fragrance that evokes the colors and vitality of coral reefs.,4.3,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Bvlgari,Aqva Divina,"Bergamot, Salt crystals","Red ginger, Magnolia","Amber, Quince",A salty and sensual fragrance that transports you to the depths of the sea.,4.1,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Bvlgari,Splendida Magnolia Sensuel,"Neroli, Mandarin","Magnolia, Orange blossom, Jasmine sambac","Patchouli, Musk",A floral fragrance that captures the soft and velvety texture of magnolia petals.,4.3,Moderate,Spring & Fall,Casual (Daytime),$$$,Moderate
